glottal_gap,time
0.032462848,0.5861
0.035804578,0.5862
0.039730913,0.5863
0.044211623,0.5864
0.048899482,0.5865
0.053461713,0.5866
0.058470916,0.5867
0.063905603,0.5868
0.069617535,0.5869
0.075464147,0.587
0.081355912,0.5871
0.087216649,0.5872
0.092959144,0.5873
0.098509821,0.5874
0.103798489,0.5875
0.108763937,0.5876
0.113346298,0.5877
0.117492476,0.5878
0.12116428,0.5879
0.124337281,0.588
0.126999813,0.5881
0.129149751,0.5882
0.130790452,0.5883
0.131932009,0.5884
0.132586844,0.5885
0.132768533,0.5886
0.132490607,0.5887
0.131765956,0.5888
0.13060663,0.5889
0.129024398,0.589
0.127035864,0.5891
0.124659871,0.5892
0.119179144,0.5893
0.113313118,0.5894
0.10733932,0.5895
0.101317598,0.5896
0.095261517,0.5897
0.089189589,0.5898
0.083123708,0.5899
0.077098103,0.59
0.070956343,0.5901
0.064913907,0.5902
0.05903179,0.5903
0.053360718,0.5904
0.047946231,0.5905
0.042835357,0.5906
0.038074875,0.5907
0.033708524,0.5908
0.029549225,0.5909
0.02563117,0.591
0.022129844,0.5911
0.019098782,0.5912
0.016568906,0.5913
0.014380359,0.5914
0.01180522,0.5915
0.009651262,0.5916
0.007840915,0.5917
0.005826521,0.5918
0.005603972,0.5919
0.005605968,0.592
0.005673114,0.5921
0.005702335,0.5922
0.006040897,0.5923
0.00620375,0.5924
0.006062298,0.5925
0.006666194,0.5926
0.008198373,0.5927
0.01075947,0.5928
0.014324594,0.5929
0.01881327,0.593
0.023653159,0.5931
0.028529112,0.5932
0.03376924,0.5933
0.039792929,0.5934
0.046527413,0.5935
0.05372752,0.5936
0.061255649,0.5937
0.068915975,0.5938
0.076560432,0.5939
0.084114345,0.594
0.09152576,0.5941
0.098726178,0.5942
0.105668616,0.5943
0.112307602,0.5944
0.118601819,0.5945
0.124500456,0.5946
0.129950205,0.5947
0.134907791,0.5948
0.139346659,0.5949
0.143259132,0.595
0.146652729,0.5951
0.149541735,0.5952
0.15194421,0.5953
0.153874435,0.5954
0.155342154,0.5955
0.156353301,0.5956
0.156912187,0.5957
0.157022762,0.5958
0.154633991,0.5959
0.150672613,0.596
0.146379023,0.5961
0.141832489,0.5962
0.137062756,0.5963
0.132092094,0.5964
0.12694475,0.5965
0.121650983,0.5966
0.116250298,0.5967
0.110790405,0.5968
0.105323447,0.5969
0.099901988,0.597
0.094521059,0.5971
0.089143724,0.5972
0.083926155,0.5973
0.078909993,0.5974
0.074125786,0.5975
0.069596187,0.5976
0.065339029,0.5977
0.061368806,0.5978
0.057697466,0.5979
0.054333185,0.598
0.051279135,0.5981
0.048005054,0.5982
0.044886651,0.5983
0.042061669,0.5984
0.039561461,0.5985
0.036590532,0.5986
0.033881264,0.5987
0.031479859,0.5988
0.028771872,0.5989
0.026525378,0.599
0.024422863,0.5991
0.022453933,0.5992
0.021069435,0.5993
0.019988818,0.5994
0.018978834,0.5995
0.018595539,0.5996
0.018975512,0.5997
0.019255383,0.5998
0.0199684,0.5999
0.021457179,0.6
0.02350811,0.6001
0.025438169,0.6002
0.028047458,0.6003
0.031451762,0.6004
0.034792419,0.6005
0.038632532,0.6006
0.043086336,0.6007
0.04801977,0.6008
0.052506115,0.6009
0.057373769,0.601
0.062675719,0.6011
0.068309847,0.6012
0.074109847,0.6013
0.079987625,0.6014
0.085855212,0.6015
0.091627353,0.6016
0.097225733,0.6017
0.102580913,0.6018
0.107628928,0.6019
0.112315973,0.602
0.116587914,0.6021
0.120397737,0.6022
0.123713442,0.6023
0.126517143,0.6024
0.128803344,0.6025
0.130575476,0.6026
0.131841244,0.6027
0.132614127,0.6028
0.132908707,0.6029
0.132739721,0.603
0.132121008,0.6031
0.131065142,0.6032
0.129584004,0.6033
0.127694069,0.6034
0.125413859,0.6035
0.12062852,0.6036
0.114820564,0.6037
0.108867097,0.6038
0.102850145,0.6039
0.096794567,0.604
0.090718896,0.6041
0.084645272,0.6042
0.07860518,0.6043
0.072509673,0.6044
0.06644055,0.6045
0.06051686,0.6046
0.054792755,0.6047
0.049315294,0.6048
0.044130055,0.6049
0.039281937,0.605
0.034813398,0.6051
0.030656324,0.6052
0.026633442,0.6053
0.023005985,0.6054
0.019838139,0.6055
0.017166983,0.6056
0.015012878,0.6057
0.012396154,0.6058
0.010085584,0.6059
0.008363536,0.606
0.006109539,0.6061
0.00561197,0.6062
0.005580721,0.6063
0.005656134,0.6064
0.005688385,0.6065
0.005932801,0.6066
0.006168724,0.6067
0.006282731,0.6068
0.006641129,0.6069
0.007750878,0.607
0.009871078,0.6071
0.013018279,0.6072
0.017164297,0.6073
0.022180751,0.6074
0.027215397,0.6075
0.032543492,0.6076
0.03819241,0.6077
0.044548206,0.6078
0.051529196,0.6079
0.058893511,0.608
0.066476922,0.6081
0.074089926,0.6082
0.081655365,0.6083
0.089102295,0.6084
0.096365468,0.6085
0.103389624,0.6086
0.110130599,0.6087
0.116542743,0.6088
0.122575763,0.6089
0.128172545,0.609
0.133287288,0.6091
0.137887553,0.6092
0.141961429,0.6093
0.145511983,0.6094
0.1485522,0.6095
0.151099865,0.6096
0.153171268,0.6097
0.15477816,0.6098
0.155928793,0.6099
0.15662853,0.61
0.156881698,0.6101
0.15570181,0.6102
0.151868536,0.6103
0.147659957,0.6104
0.14317971,0.6105
0.138467631,0.6106
0.133544214,0.6107
0.128436056,0.6108
0.123172393,0.6109
0.117791269,0.611
0.11233787,0.6111
0.106862854,0.6112
0.101418438,0.6113
0.096040504,0.6114
0.090620828,0.6115
0.085349848,0.6116
0.080271996,0.6117
0.075419374,0.6118
0.070814996,0.6119
0.066477778,0.612
0.062423682,0.6121
0.058666254,0.6122
0.055215366,0.6123
0.052076239,0.6124
0.048914169,0.6125
0.045737023,0.6126
0.042835194,0.6127
0.040251256,0.6128
0.037465035,0.6129
0.034672103,0.613
0.032270457,0.6131
0.029558246,0.6132
0.027163234,0.6133
0.025117075,0.6134
0.023000344,0.6135
0.021430616,0.6136
0.020387522,0.6137
0.019225286,0.6138
0.018639977,0.6139
0.018805417,0.614
0.019179363,0.6141
0.01972132,0.6142
0.020978198,0.6143
0.023051142,0.6144
0.02478944,0.6145
0.027167618,0.6146
0.030351984,0.6147
0.033750507,0.6148
0.037413629,0.6149
0.04168321,0.615
0.0464611,0.6151
0.051015692,0.6152
0.055778428,0.6153
0.060985752,0.6154
0.066579583,0.6155
0.072395152,0.6156
0.07829012,0.6157
0.084180849,0.6158
0.089999568,0.6159
0.095662344,0.616
0.101100195,0.6161
0.106246671,0.6162
0.111045043,0.6163
0.115439456,0.6164
0.119380973,0.6165
0.122835594,0.6166
0.125783076,0.6167
0.1282155,0.6168
0.130134024,0.6169
0.131544499,0.617
0.13245907,0.6171
0.132891577,0.6172
0.132856549,0.6173
0.132367947,0.6174
0.131438646,0.6175
0.130080263,0.6176
0.128303891,0.6177
0.126125172,0.6178
0.122225333,0.6179
0.116536325,0.618
0.110619021,0.6181
0.104622105,0.6182
0.098582433,0.6183
0.092515275,0.6184
0.086440767,0.6185
0.080387162,0.6186
0.074324789,0.6187
0.068221714,0.6188
0.062245195,0.6189
0.056451925,0.619
0.050891208,0.6191
0.045609518,0.6192
0.040653657,0.6193
0.036068404,0.6194
0.031874616,0.6195
0.027738657,0.6196
0.023985424,0.6197
0.020682042,0.6198
0.01786844,0.6199
0.015566278,0.62
0.013135313,0.6201
0.010752804,0.6202
0.008913397,0.6203
0.006868181,0.6204
0.005673431,0.6205
0.005591205,0.6206
0.005597548,0.6207
0.005636186,0.6208
0.005726959,0.6209
0.006131181,0.621
0.006482395,0.6211
0.006594085,0.6212
0.007433768,0.6213
0.009188333,0.6214
0.011989214,0.6215
0.015787837,0.6216
0.020511891,0.6217
0.025632957,0.6218
0.030693021,0.6219
0.036090765,0.622
0.042238312,0.6221
0.049066946,0.6222
0.056330775,0.6223
0.063864713,0.6224
0.071476384,0.6225
0.079077305,0.6226
0.086588048,0.6227
0.093937385,0.6228
0.101063797,0.6229
0.107918533,0.623
0.114454099,0.6231
0.120620436,0.6232
0.126361713,0.6233
0.131632076,0.6234
0.136397031,0.6235
0.140640714,0.6236
0.14436194,0.6237
0.14757038,0.6238
0.150282234,0.6239
0.152513669,0.624
0.15427711,0.6241
0.155581417,0.6242
0.15643225,0.6243
0.156833988,0.6244
